parcel_id,address,lat,lon,structure_type,year_built,assessed_value,owner_name,stories,sq_ft
HCF-2024-040,6789 Desoto Rd,27.6234,-82.3923,residential,1967,142000,Mildred P. Russo,1,1240
HCF-2024-041,3123 Northgate Blvd,27.5012,-82.5123,residential,2009,299000,Daniel R. Perkins,2,2310
HCF-2024-042,1890 Lake Flores Dr,27.4923,-82.4712,residential,2020,567000,Brittany C. Hawthorne,2,3080
HCF-2024-043,7345 El Conquistador Pkwy,27.4434,-82.6312,commercial,2006,1120000,Southwest FL Hospitality,3,14500
HCF-2024-044,2567 Bayshore Gardens Pkwy,27.4623,-82.5923,residential,1979,172000,Arthur W. Pendleton,1,1475
HCF-2024-045,5890 12th St E,27.5456,-82.4523,multi_family,2016,890000,Metro Living Partners,4,10200
HCF-2024-046,1023 Palma Sola Bay Cir,27.5234,-82.6456,residential,2017,545000,Michelle T. Crawford,2,3210
HCF-2024-047,4567 Trailer Park Dr,27.4789,-82.5534,residential,1972,98000,Raymond F. Doyle,1,980
HCF-2024-048,8123 SR 70 W,27.5123,-82.6023,commercial,2004,2340000,Bradenton West Dev LLC,2,27500
HCF-2024-049,3456 Myrtle Ave,27.4934,-82.5234,residential,1993,216000,Teresa A. Nguyen,1,1790
HCF-2024-050,6234 Longboat Club Rd,27.4312,-82.6823,residential,2010,1234000,Philip S. Worthington,2,4680
HCF-2024-051,2789 Tallevast Rd,27.4512,-82.4934,residential,1989,203000,Sharon M. Aldridge,1,1670
HCF-2024-052,5345 US-301 N,27.5678,-82.3534,commercial,2011,987000,301 Corridor Invest LLC,1,11200
HCF-2024-053,1234 Bayside Dr,27.5867,-82.6123,residential,2014,623000,Gregory K. Sutherland,2,3560
HCF-2024-054,4890 Manatee Ave W,27.4723,-82.6145,residential,1982,188000,Rose B. Carbone,1,1555
HCF-2024-055,7456 Parkway Blvd,27.5012,-82.4812,multi_family,2018,1120000,Sunstate Residential LLC,3,12400
HCF-2024-056,3234 Creekwood Blvd,27.4678,-82.4523,commercial,2013,778000,CreekSide Business Park,2,8900
HCF-2024-057,9023 SR 64 W,27.5345,-82.6234,residential,1975,165000,Albert J. Winslow,1,1395
HCF-2024-058,2123 Morrill St,27.4856,-82.5712,residential,1966,128000,Margaret O. Plummer,1,1180
HCF-2024-059,5567 Cattlemen Rd,27.4523,-82.4312,commercial,2002,545000,Sarasota East Commerce,1,6700
HCF-2024-060,1789 Gulf of Mexico Dr,27.4234,-82.6934,residential,2021,1890000,Harrison R. Beaumont III,3,6200
