parcel_id,address,lat,lon,structure_type,year_built,assessed_value,owner_name,stories,sq_ft
19405021,523 Marquez Ave,34.0456,-118.5389,Single Family Residential,1991,2310000,Steven & Laura Olmstead,2,2560
19405022,1834 Muskingum Ave,34.0578,-118.5212,Single Family Residential,1957,1690000,Dorothy M. Flanagan,1,1620
19405023,350 Swarthmore Ave,34.0534,-118.5301,Single Family Residential,2010,2890000,Gregory C. Nakashima,2,3120
19405024,9145 Flicker Way,34.0812,-118.5512,Single Family Residential,1969,1540000,Carl & Ruth Pemberton,1,1890
19405025,1223 Entrada Dr,34.0623,-118.5623,Single Family Residential,1976,2670000,Isabella M. Cortez,2,2940
19405026,4410 Topanga Canyon Blvd,34.1034,-118.6023,Commercial Retail,1988,760000,Valley Retail Associates,1,3200
19405027,789 Radcliffe Ave,34.0523,-118.5278,Single Family Residential,1963,1820000,Harold T. Sherwood,1,1950
19405028,1578 Charmel Ln,34.0689,-118.5189,Single Family Residential,1984,2140000,Kevin & Monica Rafferty,2,2480
19405029,3456 Malibu Canyon Rd,34.1089,-118.6978,Single Family Residential,1993,1380000,Diane L. Ashford,1,1720
19405030,625 Haldeman Rd,34.0345,-118.4812,Commercial Office,2001,1450000,Pacific Bluff LLC,2,5600
19405031,2001 Palisades Dr,34.0423,-118.5312,Multi-Family Residential,1986,3800000,Sunset Heights LP,3,8400
19405032,1147 Corsica Dr,34.0678,-118.5456,Single Family Residential,2005,2560000,Yuki & Takeshi Yamamoto,2,3050
19405033,8934 Galena St,34.0801,-118.5289,Single Family Residential,1961,1690000,Arthur W. MacPherson,1,1780
19405034,512 Palisades Beach Rd,34.0267,-118.5234,Commercial Restaurant,1996,890000,Beachside Eats Inc,1,2800
19405035,1890 Kappakolea Dr,34.0534,-118.5589,Single Family Residential,1970,2020000,Maureen R. Gallagher,1,2100
19405036,405 Greentree Rd,34.0756,-118.5178,Single Family Residential,2012,2780000,Brandon & Heather Kowalski,2,3200
19405037,7823 Mulholland Dr,34.1078,-118.5567,Single Family Residential,1987,1950000,Richard N. Blackwell,2,2680
19405038,1312 Bienveneda Ave,34.0889,-118.5312,Single Family Residential,1974,1840000,Louise T. Marchetti,1,1960
19405039,2567 Via Tejon,34.0512,-118.5823,Single Family Residential,1968,1780000,Ernest & Gloria Sandoval,1,2020
19405040,17305 Sunset Blvd,34.0634,-118.5712,Commercial Office,1994,3100000,Sunset Business Park LLC,3,12000
19405041,943 Hartzell St,34.0545,-118.5267,Single Family Residential,1953,1640000,Agnes P. Kowalczyk,1,1540
19405042,1654 Aldea Dr,34.0712,-118.5634,Single Family Residential,2017,3650000,Connor & Siobhan Murphy,2,4100
19405043,280 Tramonto Dr,34.0389,-118.5423,Single Family Residential,1979,2230000,Francis X. Doherty,2,2500
19405044,6789 Paseo Miramar,34.0823,-118.5834,Single Family Residential,1966,1760000,Nancy J. Holbrook,1,1870
19405045,1101 Monument St,34.0712,-118.5456,Multi-Family Residential,1981,2900000,Mesa Verde Properties,2,5800
19405046,3123 Las Virgenes Rd,34.1045,-118.7123,Commercial Mixed Use,1999,1120000,Canyon Holdings LLC,1,4600
19405047,822 Palisades Dr,34.0389,-118.5178,Single Family Residential,2009,2420000,Howard & Patricia Stevenson,2,2890
19405048,1445 Sunset Mesa Dr,34.0534,-118.5934,Single Family Residential,1973,1980000,Samuel O. Bernstein,1,2150
19405049,9234 Amalfi Dr,34.0656,-118.5389,Single Family Residential,1958,1720000,Catherine V. Randolph,1,1730
19405050,475 Carey Ln,34.0489,-118.5512,Single Family Residential,2014,3120000,Aisha & Marcus Williams,2,3450
19405051,5890 Busch Dr,34.0934,-118.5678,Single Family Residential,1982,1590000,Theodore J. Kaminski,1,1820
19405052,1723 Malibu Knolls Rd,34.0078,-118.6823,Single Family Residential,1977,3750000,Victoria A. St. Claire,2,3900
19405053,14012 Sunset Blvd,34.0589,-118.5512,Commercial Retail,2006,1980000,Pacific Coast Shops LLC,1,6100
19405054,667 Iliff St,34.0523,-118.5234,Single Family Residential,1960,1680000,Gloria H. Watanabe,1,1650
19405055,2345 Rambla Pacifico,34.0112,-118.6567,Single Family Residential,1990,4500000,Logan & Brittany Prescott,2,4800
19405056,1089 Casale Rd,34.0678,-118.5745,Single Family Residential,1967,2180000,Bernard R. O'Sullivan,1,2250
19405057,389 Topanga Beach Rd,34.0223,-118.6012,Commercial Restaurant,2002,670000,Surf & Turf Ventures,1,2400
19405058,1934 Marinette Rd,34.0756,-118.5623,Single Family Residential,2011,2890000,Felipe & Carmen Vásquez,2,3300
19405059,7145 Mulholland Hwy,34.1123,-118.6345,Single Family Residential,1985,1430000,Eugene P. Callahan,1,1680
19405060,512 Alma Real Dr,34.0467,-118.5345,Multi-Family Residential,1988,2750000,Palisades Rental Group,2,5400
